QUESTION NO.,QUESTIONS,,,Answer Provided,,,Degree of Correctness of Answer,CORRECTIONS TO SUGGEST,Additional Prompt,Final Best answer,Remarks on the Answer,Link to URL for ChatGPT conversation
1,"Given an integer, check if it is even or odd.",,,"def check_even_odd(num):
    if num % 2 == 0:
        return ""Even""
    else:
        return ""Odd""

# Example usage:
number = int(input(""Enter an integer: ""))
result = check_even_odd(number)
print(f""The number {number} is {result}."")
",,,Fully Correct,,,,,https://chat.openai.com/c/ca53bd36-3c4e-47d5-b701-2a0921d7af48
2,"Given two integers, find the larger one.",,,"def find_larger_integer(a, b):
    if a > b:
        return a
    else:
        return b

# Example usage:
num1 = int(input(""Enter the first integer: ""))
num2 = int(input(""Enter the second integer: ""))

larger_integer = find_larger_integer(num1, num2)
print(""The larger integer is:"", larger_integer)",,,Fully Correct,,,,,https://chat.openai.com/c/8bd78246-5c35-4488-9183-a24b67cde101
3,"Given a temperature in Celsius, convert it to Fahrenheit using the formula F = (C * 1.8) + 32. If the temperature is above 90°F, print “It’s hot outside!” otherwise, print “The temperature is pleasant”.",,,"def celsius_to_fahrenheit(celsius):
    fahrenheit = (celsius * 1.8) + 32
    return fahrenheit

def main():
    celsius = float(input(""Enter the temperature in Celsius: ""))
    fahrenheit = celsius_to_fahrenheit(celsius)
    print(f""The temperature in Fahrenheit is: {fahrenheit}"")

    if fahrenheit > 90:
        print(""It's hot outside!"")
    else:
        print(""The temperature is pleasant"")

if __name__ == ""__main__"":
    main()",,,Fully Correct,,,,,https://chat.openai.com/c/70dd5f34-da87-42a1-a5cd-7b406d3cf4c0
4,"Given a year, check if it is a leap year or not. A leap year is divisible by 4, except for years that are divisible by 100. However, years that are divisible by 400 are also leap years.",,,"def is_leap_year(year):
    if year % 4 == 0:
        if year % 100 == 0:
            if year % 400 == 0:
                return True
            else:
                return False
        else:
            return True
    else:
        return False

# Test the function
year = int(input(""Enter a year: ""))
if is_leap_year(year):
    print(f""{year} is a leap year."")
else:
    print(f""{year} is not a leap year."")
",,,Fully Correct,,,,,https://chat.openai.com/c/e8f6b3e4-9bb7-4d11-917a-45d5d0a1a111
5,"Given two numbers, a and b, find the value of a/b (b may be zero).",,,"def divide(a, b):
    if b == 0:
        if a == 0:
            print(""Both numerator and denominator are zero. Result is undefined."")
            return None
        else:
            print(""Cannot divide by zero. Result is undefined."")
            return None
    else:
        return a / b

# Example usage:
a = float(input(""Enter the value of a: ""))
b = float(input(""Enter the value of b: ""))

result = divide(a, b)
if result is not None:
    print(""Result of"", a, ""/"", b, ""is"", result)",,,Fully Correct,,,,,https://chat.openai.com/c/2fe2abbf-bcd5-41df-a393-b1a4fe0253f7
6,"Given a point (x1, y1), find the quadrant in which this point lies.",,,"def find_quadrant(x1, y1):
    if x1 > 0 and y1 > 0:
        quadrant = ""first quadrant""
    elif x1 < 0 and y1 > 0:
        quadrant = ""second quadrant""
    elif x1 < 0 and y1 < 0:
        quadrant = ""third quadrant""
    elif x1 > 0 and y1 < 0:
        quadrant = ""fourth quadrant""
    elif x1 == 0 and y1 == 0:
        quadrant = ""origin""
    elif x1 == 0:
        quadrant = ""lies on y-axis""
    elif y1 == 0:
        quadrant = ""lies on x-axis""
    return quadrant

# Example usage:
x1 = float(input(""Enter the x-coordinate: ""))
y1 = float(input(""Enter the y-coordinate: ""))

quadrant = find_quadrant(x1, y1)
print(f""The point ({x1}, {y1}) {quadrant}."")
",,,Fully Correct,,,,,https://chat.openai.com/c/a06a7a35-b255-4876-9be9-33658e993dd7
7,"Given two points (x1, y1) and (x2, y2), find the slope and intercept of the line joining these two points (the line may be perfectly horizontal or vertical).",,,"def slope_intercept(x1, y1, x2, y2):
    # Calculate the slope
    if x2 - x1 != 0:  # To avoid division by zero for vertical lines
        m = (y2 - y1) / (x2 - x1)
    else:
        m = float('inf')  # For vertical lines, set slope as infinity
    # Calculate the y-intercept
    b = y1 - m * x1
    return m, b

# Example usage:
x1, y1 = 1, 2
x2, y2 = 3, 4
m, b = slope_intercept(x1, y1, x2, y2)
print(""Slope:"", m)
print(""Intercept:"", b)
",,,Fully Correct,,,,,https://chat.openai.com/c/941571d6-0a7a-49f0-9543-68003906fc51
8,"Given a quadratic equation with coefficients a, b and c, find the two solutions (may be real or complex). You should not take the square root of a negative number in your code.",,,"import cmath

def find_quadratic_roots(a, b, c):
    discriminant = b**2 - 4*a*c

    if discriminant >= 0:
        # Real roots
        root1 = (-b + discriminant**0.5) / (2*a)
        root2 = (-b - discriminant**0.5) / (2*a)
    else:
        # Complex roots
        discriminant_sqrt = cmath.sqrt(discriminant)
        real_part = -b / (2*a)
        imaginary_part = discriminant_sqrt / (2*a)
        root1 = complex(real_part, imaginary_part)
        root2 = complex(real_part, -imaginary_part)

    return root1, root2

# Example usage:
a = 1
b = -3
c = 2

root1, root2 = find_quadratic_roots(a, b, c)
print(""Root 1:"", root1)
print(""Root 2:"", root2)
",,,Fully Correct,,,,,https://chat.openai.com/c/c13bc0c9-5dbc-45d2-a74c-1119aeeb6379
9,"Given three points, find out whether they lie on the same straight line or not.",,,"def on_same_line(x1, y1, x2, y2, x3, y3):
    # Calculate slopes
    slope1 = (y2 - y1) / (x2 - x1) if (x2 - x1) != 0 else float('inf')
    slope2 = (y3 - y2) / (x3 - x2) if (x3 - x2) != 0 else float('inf')

    # Check if slopes are equal (or infinite)
    return slope1 == slope2

# Test the function
x1, y1 = 1, 1
x2, y2 = 2, 2
x3, y3 = 3, 3

if on_same_line(x1, y1, x2, y2, x3, y3):
    print(""The points lie on the same line."")
else:
    print(""The points do not lie on the same line."")
",,,Fully Correct,,,,,https://chat.openai.com/c/80ebee58-e24d-40bc-81b8-4c83dfd87b90
10,"Given three integers, find the smallest one.",,,"def find_smallest(a, b, c):
    return min(a, b, c)

# Example usage:
num1 = 10
num2 = 5
num3 = 7

smallest = find_smallest(num1, num2, num3)
print(""The smallest number is:"", smallest)",,,Fully Correct,,,,,https://chat.openai.com/c/f806c12e-fbcc-45d3-a1c5-111af0301700
