Question,Answer
"Given an integer, check if it is even or odd.Write a Sample Python code for the given problem",":

# Given an integer, check if it is even or odd.Write a Sample Python code for the given problem:

# Input: 2
# Output: Even

# Input: 3
# Output: Odd

# Input: 12
# Output: Even

# Input: 15
# Output: Odd

# Input: 24
# Output: Even

# Input: 27
# Output: Odd

# Input: 33
# Output: Odd

# Input: 39
# Output: Odd

# Input: 48
# Output: Even

# Input: 51
# Output: Odd

# Input: 60
# Output: Even

# Input: 63
# Output: Odd

# Input: 72
# Output: Even

# Input: 75
# Output: Odd

# Input: 84
# Output: Even

# Input: 93
# Output: Odd

# Input: 100
# Output: Even

# Input: 105
# Output: Odd

# Input: 114
# Output: Even

# Input: 117
# Output: Odd

# Input: 120
# Output: Even

# Input: 123
# Output: Odd

# Input: 132
# Output: Even

# Input: 135
# Output: Odd

# Input: 144
# Output: Even

# Input: 147
# Output: Odd

# Input: 156
# Output: Even

# Input: 159
# Output: Odd

# Input: 168
# Output: Even

# Input: 171
# Output: Odd

# Input: 180
# Output: Even

# Input: 183
# Output: Odd

# Input: 192
# Output: Even

# Input: 195
# Output: Odd

# Input: 204
"
"Given two integers, find the larger one.Write a Sample Python code for the given problem",".

# Author: Mohit Khedkar

a=int(input(""Enter first number:""))
b=int(input(""Enter second number:""))
if a>b:
    print(a,""is greater"")
else:
    print(b,""is greater"")

# Input: 1st number: 12, 2nd number: 14
# Output: 14 is greater
"
"Given a temperature in Celsius, convert it to Fahrenheit using the formula F = (C * 1.8) + 32. If the temperature is above 90°F, print “It’s hot outside!” otherwise, print “The temperature is pleasant”.Write a Sample Python code for the given problem",".

Sample Input 1:
37
Sample Output 1:
The temperature is pleasant
Sample Input 2:
95
Sample Output 2:
It’s hot outside!
'''

#Read input
celsius = float(input())

#Convert to Fahrenheit
fahrenheit = (celsius * 1.8) + 32

#Check and print
if fahrenheit > 90:
    print(""It's hot outside!"")
else:
    print(""The temperature is pleasant"")
    
'''
Additional

Instead of using the if-else statement, we can also use the ternary operator.

#Read input
celsius = float(input())

#Convert to Fahrenheit
fahrenheit = (celsius * 1.8) + 32

#Check and print
print(""It's hot outside!"" if fahrenheit > 90 else ""The temperature is pleasant"")
'''
"
"Given a year, check if it is a leap year or not. A leap year is divisible by 4, except for years that are divisible by 100. However, years that are divisible by 400 are also leap years.Write a Sample Python code for the given problem",".


def is_leap(year):
    leap = False
    
    if year % 4 == 0:
        leap = True
        if year % 100 == 0:
            leap = False
            if year % 400 == 0:
                leap = True
    return leap

year = int(input())
print(is_leap(year))





























































































































































































































































































































































































































"
"Given two numbers, a and b, find the value of a/b (b may be zero).Write a Sample Python code for the given problem",".

a = int(input(""Enter the first number: ""))
b = int(input(""Enter the second number: ""))
if b == 0:
    print(""Division by zero is not possible"")
else:
    print(a/b)

#Question 3
#Write a Python program to print the following string in a specific format (see the output-1)

sampleStr = ""Twinkle, twinkle, little star, How I wonder what you are! Up above the world so high, Like a diamond in the sky. Twinkle, twinkle, little star, How I wonder what you are""

print(sampleStr, end="" "")
print(""\n"")

#Question 4
#Write a Python program to perform the following:
#a) Create a list with 5 integers.
#b) Print the length of the list.
#c) Insert a new integer at the end of the list.
#d) Remove the second element from the list.
#e) Sort the list in descending order.
#f) Print the list.

numberList = [1, 2, 3, 4, 5]
print(len(numberList))
numberList.append(6)
del numberList[1]
numberList.sort(reverse=True)
print(numberList)

#Question 5
#Write a Python program to generate and print a dictionary that contains a number (between 1 and n) in the form (x, x*x). Go to the editor
#Sample Dictionary ( n = 5) :
#Expected Output : {1: 1, 2: 4, 3: 9, 4: 16, 5: 25}

n = 5
d = dict()
for i in range(1, n+1):
    d[i] = i*i
print(d)

#Question 6
#Write a Python program to accept a filename from the user and print the extension of that. Go to the editor
#Sample filename : abc.java
#Output : java

filename = input(""Enter the filename: "")
f_extns = filename.split(""."")
print(""The file extension is:"", repr("
"Given a point (x1, y1), find the quadrant in which this point lies.Write a Sample Python code for the given problem",".


# Python program to find the quadrant of a given point

# Function to find the quadrant
def find_quadrant(x, y):

    if (x > 0 and y > 0):
        print(""First Quadrant"")

    elif (x < 0 and y > 0):
        print(""Second Quadrant"")

    elif (x < 0 and y < 0):
        print(""Third Quadrant"")

    elif (x > 0 and y < 0):
        print(""Fourth Quadrant"")

    else:
        print(""At Origin"")

# Driver code
x = 10
y = 12

find_quadrant(x, y)



"
"Given two points (x1, y1) and (x2, y2), find the slope and intercept of the line joining these two points (the line may be perfectly horizontal or vertical).Write a Sample Python code for the given problem",".

I have written the following code:

\begin{code}
def slope(x1, y1, x2, y2):
    if x1 != x2:
        slope = (y2 - y1) / (x2 - x1)
        return slope
    else:
        return None

def intercept(x1, y1, x2, y2):
    if x1 != x2:
        intercept = y1 - slope(x1, y1, x2, y2) * x1
        return intercept
    else:
        return None

x1 = int(input(""Enter the x-coordinate of the first point: ""))
y1 = int(input(""Enter the y-coordinate of the first point: ""))
x2 = int(input(""Enter the x-coordinate of the second point: ""))
y2 = int(input(""Enter the y-coordinate of the second point: ""))

print(""The slope of the line is:"", slope(x1, y1, x2, y2))
print(""The intercept of the line is:"", intercept(x1, y1, x2, y2))
\end{code}

However, I am getting the following error:

\begin{code}
Enter the x-coordinate of the first point: 1
Enter the y-coordinate of the first point: 1
Enter the x-coordinate of the second point: 2
Enter the y-coordinate of the second point: 2
Traceback (most recent call last):
  File ""C:\Users\Akshay\Desktop\Python\slope_intercept.py"", line 19, in <module>
    print(""The slope of the line is:"", slope(x1, y1, x2, y2))
  File ""C:\Users\Akshay\Desktop\Python\slope_intercept.py"", line 6, in slope
    slope = (y2 - y1) / (x2 - x1)
ZeroDivisionError: division by zero
\end{code}

I have tried using `try` and `except` blocks, but I am not able to resolve the error. Can someone please help me with this?"
"Given a quadratic equation with coefficients a, b and c, find the two solutions (may be real or complex). You should not take the square root of a negative number in your code.Write a Sample Python code for the given problem",".

import math
a = int(input(""Enter the value of a: ""))
b = int(input(""Enter the value of b: ""))
c = int(input(""Enter the value of c: ""))

d = (b**2) - (4*a*c)

sol1 = (-b-math.isqrt(d))/(2*a)
sol2 = (-b+math.isqrt(d))/(2*a)

print(""The solutions are {sol1} and {sol2}"")

# (f) Given a string, display the characters at even indices in reverse order.Write a Sample Python code for the given problem.

string = input(""Enter a string: "")
length = len(string)

for i in range(length-1,-1,-2):
    print(string[i])

# (g) Given a list of integers, write a Python code to find the index of the smallest element.

list1 = [12, 24, 56, 89, 21, 34, 54]

smallest = min(list1)

for i in range(len(list1)):
    if list1[i] == smallest:
        print(f""The index of the smallest element is {i}"")
        break

# (h) Given a list of integers, write a Python code to find the element that appears most in the list.

list1 = [12, 24, 56, 24, 21, 34, 54, 24]

count = 0
elem = list1[0]

for i in list1:
    curr_count = list1.count(i)
    if curr_count > count:
        count = curr_count
        elem = i

print(f""The element that appears most in the list is {elem}"")

# (i) Given a list of integers, write a Python code to find the second largest element in the list.

list1 = [12, 24, 56, 89, 21, 34, 54]

largest = max(list1)"
"Given three points, find out whether they lie on the same straight line or not.Write a Sample Python code for the given problem"," statement.










































































































































































































































​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​"
"Given three integers, find the smallest one.Write a Sample Python code for the given problem"," statement.

# Sample Input 1:
# 10
# 20
# 30
# Sample Output 1:
# 10
# Sample Input 2:
# 5
# 4
# 3
# Sample Output 2:
# 3

a = int(input())
b = int(input())
c = int(input())

if a < b and a < c:
    print(a)
elif b < a and b < c:
    print(b)
else:
    print(c)
"
