Question,Answer,Degree of Correctness,,STATS,,
"Given an integer, check if it is even or odd.Write a Sample Python code for the given problem","
""""""

num = int(input(""Enter a number: ""))

if num % 2 == 0:
    print(num, ""is even"")
else:
    print(num, ""is odd"") ",Fully Correct,,"Wrong - 10 , Partially Correct - 6 ,Fully Correct - 44",,
"Given two integers, find the larger one.Write a Sample Python code for the given problem","
""""""

def find_larger(a, b):
    if a > b:
        return a
    else:
        return b

a = int(input(""Enter the first number: ""))
b = int(input(""Enter the second number: ""))

print(""The larger number is:"", find_larger(a, b)) ",Fully Correct,,,,
"Given a temperature in Celsius, convert it to Fahrenheit using the formula F = (C * 1.8) + 32. If the temperature is above 90°F, print “It’s hot outside!” otherwise, print “The temperature is pleasant”.Write a Sample Python code for the given problem","
Solution:
temp = float(input(""Enter the temperature in Celsius: ""))
fahrenheit = (temp * 1.8) + 32
print(""Temperature in Fahrenheit is: "", fahrenheit)
if fahrenheit > 90:
    print(""It's hot outside!"")
else:
    print(""The temperature is pleasant"") ",Fully Correct,,,,
"Given a year, check if it is a leap year or not. A leap year is divisible by 4, except for years that are divisible by 100. However, years that are divisible by 400 are also leap years.Write a Sample Python code for the given problem","
<|im_sep|> ",Wrong,,,,
"Given two numbers, a and b, find the value of a/b (b may be zero).Write a Sample Python code for the given problem","
Solution:

a = int(input(""Enter the value of a: ""))
b = int(input(""Enter the value of b: ""))

try:
    result = a/b
    print(f""The result of {a}/{b} is {result}"")
except ZeroDivisionError:
    print(""Error: Cannot divide by zero!"")
except Exception as e:
    print(f""Error: {e}"")

# In the above code, we have used the try-except block to handle the exception. If b is zero, then it will raise a ZeroDivisionError. We have handled this exception and printed an error message. ",Fully Correct,,,,
"Given a point (x1, y1), find the quadrant in which this point lies.Write a Sample Python code for the given problem","
We can find the quadrant of a point (x, y) by checking the sign of its coordinates. If both coordinates are positive, it lies in the first quadrant. If x is positive and y is negative, it lies in the second quadrant. If both coordinates are negative, it lies in the third quadrant. If x is negative and y is positive, it lies in the fourth quadrant. If both coordinates are zero, it lies on the x-axis or y-axis. If x is positive and y is zero, it lies on the y-axis. If x is negative and y is zero, it lies on the y-axis. If x is zero and y is positive, it lies on the x-axis. If both coordinates are zero, it lies at the origin. ",Partially Correct,Incomplete Answer,GIve Python Code,"
Answer: \begin{code}
def find_quadrant(x1, y1):
    if x1 > 0 and y1 > 0:
        return ""First quadrant""
    elif x1 < 0 and y1 > 0:
        return ""Second quadrant""
    elif x1 < 0 and y1 < 0:
        return ""Third quadrant""
    elif x1 > 0 and y1 < 0:
        return ""Fourth quadrant""
    elif x1 == 0 and y1 > 0:
        return ""Y-axis positive""
    elif x1 == 0 and y1 < 0:
        return ""Y-axis negative""
    elif y1 == 0 and x1 > 0:
        return ""X-axis positive""
    elif y1 == 0 and x1 < 0:
        return ""X-axis negative""
    elif x1 == 0 and y1 == 0:
        return ""Origin""
    else:
        return ""On the axis""

print(find_quadrant(1, 1)) # First quadrant
print(find_quadrant(-1, 1)) # Second quadrant
print(find_quadrant(-1, -1)) # Third quadrant
print(find_quadrant(1, -1)) # Fourth quadrant
print(find_quadrant(0, 1)) # Y-axis positive
print(find_quadrant(0, -1)) # Y-axis negative
print(find_quadrant(1, 0)) # X-axis positive
print(find_quadrant(-1, 0)) # X-axis negative
print(find_quadrant(0, 0)) # Origin
\end{code}",Fully Correct
"Given two points (x1, y1) and (x2, y2), find the slope and intercept of the line joining these two points (the line may be perfectly horizontal or vertical).Write a Sample Python code for the given problem","
Solution:
We can use the formula of slope and intercept to find the slope and intercept of a line passing through two points.

Slope = (y2 - y1) / (x2 - x1)
Intercept = y1 - slope * x1

If the line is perfectly horizontal, then the slope will be 0 and intercept will be the y-coordinate of the point.
If the line is perfectly vertical, then the slope will be infinity and intercept will be the x-coordinate of the point.

Here's the Python code to find the slope and intercept of a line passing through two points:


x1 = float(input(""Enter x1: ""))
y1 = float(input(""Enter y1: ""))
x2 = float(input(""Enter x2: ""))
y2 = float(input(""Enter y2: ""))

if x2 - x1 == 0:
    print(""Line is perfectly vertical"")
    print(""Intercept: "", x1)
else:
    slope = (y2 - y1) / (x2 - x1)
    intercept = y1 - slope * x1
    print(""Slope: "", slope)
    print(""Intercept: "", intercept)

Note: We use float() function to convert the input values into float data type as we may get decimal values for slope. ",Fully Correct,,,,
"Given a quadratic equation with coefficients a, b and c, find the two solutions (may be real or complex). You should not take the square root of a negative number in your code.Write a Sample Python code for the given problem","

Answer:You can use the quadratic formula to find the roots of a quadratic equation. The formula is:


\begin{code}
x = (-b ± sqrt(b^2 - 4ac)) / 2a
\end{code}

where `a`, `b`, and `c` are the coefficients of the quadratic equation `ax^2 + bx + c = 0`.

However, you should be careful when `b^2 - 4ac` is negative, because you cannot take the square root of a negative number. In that case, you can use the `cmath` module to find the complex roots.

Here's a sample Python code:

\begin{code}
import cmath

a = float(input(""Enter the coefficient a: ""))
b = float(input(""Enter the coefficient b: ""))
c = float(input(""Enter the coefficient c: ""))

discriminant = b**2 - 4*a*c

if discriminant >= 0:
    root1 = (-b + math.sqrt(discriminant)) / (2*a)
    root2 = (-b - math.sqrt(discriminant)) / (2*a)
    print(""The roots are real and are"", root1, ""and"", root2)
else:
    root1 = (-b + cmath.sqrt(discriminant)) / (2*a)
    root2 = (-b - cmath.sqrt(discriminant)) / (2*a)
    print(""The roots are complex and are"", root1, ""and"", root2)
\end{code}

Note that `cmath.sqrt` returns a complex number, so you don't need to worry about taking the square root of a negative number. ",Fully Correct,,,,
"Given three points, find out whether they lie on the same straight line or not.Write a Sample Python code for the given problem","# Input:
# The input should be in the form of three points (x1,y1),(x2,y2),(x3,y3) where x1,x2,x3 are the x-coordinates and y1,y2,y3 are the y-coordinates of the three points.

# Output:
# Output should be True or False.

# Example:
# Input: (1,2),(2,3),(3,4)
# Output: True
# Input: (1,2),(2,4),(3,6)
# Output: True
# Input: (1,2),(2,4),(3,7)
# Output: False ",Incomplete Answer,,,,
"Given three integers, find the smallest one.Write a Sample Python code for the given problem","
Solution:
We can use the built-in function `min()` to find the smallest number among the given three integers.

Here's the code:

```python
def find_smallest(a, b, c):
    return min(a, b, c)
```

We can test the function with some sample inputs:

```python
print(find_smallest(5, 3, 7))  # Output: 3
print(find_smallest(10, 15, 2))  # Output: 2
print(find_smallest(15, 10, 20))  # Output: 10
``` ",Fully Correct,,,,
