Question,Answer,Degree of Correctness,Corrections required,Additional Prompt,Final Best Answer,Degree of Correctness,Confused,,"No. of Partially Correct : 8 ,Incomplete : 23 , Wrong : 4 Fully Correct : 25",,,,
"Given an integer, check if it is even or odd.Write a Python code for the given problem","statement:



Problem Statement:


Create a function called `is_even()` that takes an integer as input and returns True if it is even and False if it is odd. 



Example:


```python
>>> is_even(5)
False
>>> is_even(8)
True
``` ",Partially Correct,Prompt Correcting is required ,Write a Python Code to check  if a given integer is even or odd,"def even_or_odd(num):
    if num & 1 == 0:
        return ""Even""
    else:
        return ""Odd""

print(even_or_odd(10)) # Even
print(even_or_odd(7)) # Odd ",Fully Correct,,,,,,,
"Given two integers, find the larger one.Write a Python code for the given problem","statement.

Input:
Two integers a and b separated by space

Output:
The larger integer between a and b.

Example:
Input:
10 20
Output:
20

Input:
15 15
Output:
15

Input:
5 8
Output:
8 ",Partially Correct,Prompt Correcting is required ,Write a python code to whom given 2 integers it finds the larger one and prints it.,"#Input:
#Two integers a and b separated by space

#Output:
#The larger integer

a,b=map(int,input().split())
if a>b:
    print(a)
else:
    print(b)",Fully Correct,,,,,,,
"Given a temperature in Celsius, convert it to Fahrenheit using the formula F = (C * 1.8) + 32. If the temperature is above 90°F, print “It’s hot outside!” otherwise, print “The temperature is pleasant”.Write a Python code for the given problem",statement,Incomplete,Prompt Correcting is required ,"Given a temperature in Celsius,give a python code to convert it to Fahrenheit using the formula F = (C * 1.8) + 32. If the temperature is above 90°F, print “It’s hot outside!” otherwise, print “The temperature is pleasant”.Write a Python code for the given problem statement:","#Solution:

temp_c = float(input(""Enter temperature in Celsius: "")
temp_f = temp_c * 1.8 + 32
print(""Temperature in Fahrenheit is: "", temp_f)
if temp_f > 90:
    print(""It's hot outside!"")
else:
    print(""The temperature is pleasant"") ",Fully Correct,,,,,,,
"Given a year, check if it is a leap year or not. A leap year is divisible by 4, except for years that are divisible by 100. However, years that are divisible by 400 are also leap years.Write a Python code for the given problem","statement.

def is_leap_year(year):
    if year % 4 == 0:
        if year % 100 == 0:
            if year % 400 == 0:
                return True
            else:
                return False
        else:
            return True
    else:
        return False

year = int(input(""Enter a year: ""))
if is_leap_year(year):
    print(year, ""is a leap year"")
else:
    print(year, ""is not a leap year"") ",Fully Correct,,,,,,,,,,,
"Given two numbers, a and b, find the value of a/b (b may be zero).Write a Python code for the given problem","statement:

a=float(input(""Enter the value of a: "")
b=float(input(""Enter the value of b: "")
if b==0:
    print(""Division by zero error!"")
else:
    print(""The value of a/b is: "",a/b) ",Fully Correct,,,,,,,,,,,
"Given a point (x1, y1), find the quadrant in which this point lies.Write a Python code for the given problem","statement.

#Solution:
x1 = float(input(""Enter x-coordinate of the point: "")
y1 = float(input(""Enter y-coordinate of the point: "")

if x1 > 0 and y1 > 0:
    print(""The point lies in the first quadrant"")
elif x1 < 0 and y1 > 0:
    print(""The point lies in the second quadrant"")
elif x1 < 0 and y1 < 0:
    print(""The point lies in the third quadrant"")
elif x1 > 0 and y1 < 0:
    print(""The point lies in the fourth quadrant"")
else:
    print(""The point lies on the x-axis or y-axis"") ",Fully Correct,,,,,,,,,,,
"Given two points (x1, y1) and (x2, y2), find the slope and intercept of the line joining these two points (the line may be perfectly horizontal or vertical).Write a Python code for the given problem","statement.


#Solution:

x1 = float(input(""Enter the value of x1: ""))
y1 = float(input(""Enter the value of y1: ""))
x2 = float(input(""Enter the value of x2: ""))
y2 = float(input(""Enter the value of y2: ""))

if x1 == x2:
    print(""The line is vertical."")
else:
    m = (y2 - y1) / (x2 - x1)
    c = y1 - m * x1
    print(""Slope: "", m)
    print(""Intercept: "", c) ",Fully Correct,,,,,,,,,,,
"Given a quadratic equation with coefficients a, b and c, find the two solutions (may be real or complex). You should not take the square root of a negative number in your code.Write a Python code for the given problem.",".#Example:
#Input: a=2, b=5, c=3
#Output: 0.5, -1.5

#Input: a=1, b=-3, c=2
#Output: 1.0, 2.0

#Input: a=1, b=2, c=1
#Output: -1.0, -1.0

#Solution:

import math

def quadratic_solver(a, b, c):
    if a == 0:
        return ""Invalid input""
    else:
        d = b**2 - 4*a*c
        if d < 0:
            return ""No real solutions""
        else:
            x1 = (-b + math.sqrt(d)) / (2*a)
            x2 = (-b - math.sqrt(d)) / (2*a)
            return x1, x2

#Testing the function with sample inputs
print(quadratic_solver(2, 5, 3))
print(quadratic_solver(1, -3, 2))
print(quadratic_solver(1, 2, 1)) ",Fully Correct,,,,,,,,,,,
"Given three points, find out whether they lie on the same straight line or not.Write a Python code for the given problem","statement. 
# Input: 
# Three points (x1, y1), (x2, y2), (x3, y3) 
# Output:
# True if they lie on the same straight line, False otherwise. 
# 
# Example: 
# Input: (1, 2), (2, 4), (3, 6)
# Output: True 
# 
# Input: (1, 2), (2, 4), (3, 7)
# Output: False ",Prtially Correct,Prompt Correctness Required,"Given three points,write a sample python code to  find out whether they lie on the same straight line or not.Write Python code for the given problem statement. 
","# Input:
# x1,y1,x2,y2,x3,y3 (coordinates of the three points)
# Output:
# True if the points lie on the same straight line, False otherwise

import math

def check_collinear(x1,y1,x2,y2,x3,y3):
    # calculate the slope of the line passing through the first two points
    m1 = (y2-y1)/(x2-x1)
    # calculate the slope of the line passing through the second two points
    m2 = (y3-y2)/(x3-x2)
    # check if the slopes are equal
    if m1 == m2:
        return True
    else:
        return False

# test the function with sample inputs
print(check_collinear(1,2,3,4,6,5,8)) # True
print(check_collinear(1,2,3,4,6,5,9)) # False ",Fully Correct,,,,,,,.
"Given three integers, find the smallest one.Write a Python code for the given problem","statement:


# Input:
# Three integers a, b, c separated by space

# Output:
# Smallest integer among the three

# Example:
# Input:
# 10 20 30
# Output:
# 10

# Input:
# 15 10 25
# Output:
# 10 ",Partially Correct,Prompt Correctness Required,"Given three integers,write a python code to  find the smallest one.Write a Python code for the given problem statement.","Answer: \begin{code}
a = int(input(""Enter first number: "")
b = int(input(""Enter second number: "")
c = int(input(""Enter third number: "")

if a<b and a<c:
    print(a, ""is the smallest number"")
elif b<a and b<c:
    print(b, ""is the smallest number"")
else:
    print(c, ""is the smallest number"")
\end{code}

This code will take three numbers as input and then compare them to find the smallest one. If a is the smallest, it will print ""a is the smallest number"". If b is the smallest, it will print ""b is the smallest number"", and if c is the smallest, it will print ""c is the smallest number"". ",Fully Correct,,,,,,,
