questions,answers,,Statistics : 2 - Partially Correct 58-Fully Correct
"Given an integer, check if it is even or odd.","Here is a simple Python function that checks if an integer is even or odd:
```
def is_even(n):
    if n % 2 == 0:
        return ""Even""
    else:
        return ""Odd""
```
Here's an explanation of how it works:

* The `%` operator is the modulo operator, which returns the remainder of the division of `n` by 2.
* If `n` is even, the remainder of dividing it by 2 is 0, so `n % 2 == 0` is `True`.
* If `n` is odd, the remainder of dividing it by 2 is 1, so `n % 2 == 0` is `False`.
* The `if` statement checks the result of the modulo operation and returns ""Even"" if it's true, or ""Odd"" if it's false.

Here are some sample inputs and outputs:
```
print(is_even(4))  # Output: Even
print(is_even(3))  # Output: Odd
print(is_even(10))  # Output: Even
print(is_even(11))  # Output: Odd
```
You can also use a more concise version of the function using a ternary operator:
```
def is_even(n):
    return ""Even"" if n % 2 == 0 else ""Odd""
```
This does the same thing as the previous implementation, but in a single line of code.",,
"Given two integers, find the larger one.","A simple yet classic problem!

Here's the solution:

**Problem:** Given two integers, find the larger one.

**Sample Python Code:**
```
def find_larger(a, b):
    if a > b:
        return a
    else:
        return b

# Test the function
a = 5
b = 10
print(find_larger(a, b))  # Output: 10

a = 20
b = 15
print(find_larger(a, b))  # Output: 20
```
Alternatively, you can use the built-in `max` function in Python, which is even simpler:
```
def find_larger(a, b):
    return max(a, b)

# Test the function
a = 5
b = 10
print(find_larger(a, b))  # Output: 10

a = 20
b = 15
print(find_larger(a, b))  # Output: 20
```
In this case, the `max` function takes two arguments and returns the larger one.",,
"Given a temperature in Celsius, convert it to Fahrenheit using the formula F = (C * 1.8) + 32. If the temperature is above 90°F, print “It’s hot outside!” otherwise, print “The temperature is pleasant”.","Here is the Python code that does what you described:
```
def celsius_to_fahrenheit(celsius):
    fahrenheit = (celsius * 1.8) + 32
    if fahrenheit > 90:
        print(""It's hot outside!"")
    else:
        print(""The temperature is pleasant"")
    return fahrenheit

# Test the function
celsius = float(input(""Enter a temperature in Celsius: ""))
fahrenheit = celsius_to_fahrenheit(celsius)
print(f""{celsius}°C is equal to {fahrenheit}°F"")
```
Here's how the code works:

1. The function `celsius_to_fahrenheit` takes a Celsius temperature as input and converts it to Fahrenheit using the formula.
2. It then checks if the resulting Fahrenheit temperature is above 90°F. If it is, it prints ""It's hot outside!"". Otherwise, it prints ""The temperature is pleasant"".
3. The function returns the Fahrenheit temperature.
4. In the main code, we prompt the user to enter a temperature in Celsius, convert it to Fahrenheit using the function, and print the result.

Example output:
```
Enter a temperature in Celsius: 32
The temperature is pleasant
32.0°C is equal to 89.6°F

Enter a temperature in Celsius: 40
It's hot outside!
40.0°C is equal to 104.0°F
```
Note: I used `float` to convert the user input to a floating-point number, since temperatures can have decimal points.",,
"Given a year, check if it is a leap year or not. A leap year is divisible by 4, except for years that are divisible by 100. However, years that are divisible by 400 are also leap years.","Here is a Python function that checks if a year is a leap year or not:
```
def is_leap_year(year):
    if year % 4 == 0:
        if year % 100 == 0:
            if year % 400 == 0:
                return True
            else:
                return False
        else:
            return True
    else:
        return False
```
Here's an explanation of the logic:

1. If the year is divisible by 4, it's a potential leap year.
2. If the year is also divisible by 100, it's not a leap year unless...
3. ...it's also divisible by 400, in which case it is a leap year.

Here are some sample inputs and outputs:
```
print(is_leap_year(2020))  # True
print(is_leap_year(2019))  # False
print(is_leap_year(2000))  # True
print(is_leap_year(1900))  # False
```
You can also use a more concise version of the function using the `and` and `or` operators:
```
def is_leap_year(year):
    return year % 4 == 0 and (year % 100 != 0 or year % 400 == 0)
```
This function is equivalent to the previous one, but is a bit more compact.",,
"Given two numbers, a and b, find the value of a/b (b may be zero).","Here is a Python code snippet that handles division of two numbers, including the case where the divisor (b) is zero:
```
def divide(a, b):
    if b == 0:
        return ""Error: Division by zero is not allowed""
    else:
        return a / b

# Test cases
print(divide(10, 2))  # Output: 5.0
print(divide(10, 0))  # Output: Error: Division by zero is not allowed
print(divide(20, 4))  # Output: 5.0
```
In this code, we define a function `divide` that takes two arguments `a` and `b`. We check if `b` is zero, and if so, return an error message. If `b` is non-zero, we perform the division and return the result.

Note that in Python, division by zero raises a `ZeroDivisionError` exception. We can also use a `try`-`except` block to catch this exception and return a custom error message:
```
def divide(a, b):
    try:
        return a / b
    except ZeroDivisionError:
        return ""Error: Division by zero is not allowed""
```
This code is equivalent to the previous implementation, but uses the `try`-`except` block to catch the `ZeroDivisionError` exception raised by Python when dividing by zero.",,
"Given a point (x1, y1), find the quadrant in which this point lies.","Here's a Python function that determines the quadrant of a point (x1, y1):

```
def find_quadrant(x1, y1):
    if x1 > 0 and y1 > 0:
        return ""First Quadrant""
    elif x1 < 0 and y1 > 0:
        return ""Second Quadrant""
    elif x1 < 0 and y1 < 0:
        return ""Third Quadrant""
    elif x1 > 0 and y1 < 0:
        return ""Fourth Quadrant""
    elif x1 == 0 and y1 > 0:
        return ""On the positive Y-axis""
    elif x1 == 0 and y1 < 0:
        return ""On the negative Y-axis""
    elif x1 > 0 and y1 == 0:
        return ""On the positive X-axis""
    else:
        return ""Origin""

# Test the function
print(find_quadrant(1, 2))  # Output: First Quadrant
print(find_quadrant(-1, 2))  # Output: Second Quadrant
print(find_quadrant(-1, -2))  # Output: Third Quadrant
print(find_quadrant(1, -2))  # Output: Fourth Quadrant
print(find_quadrant(0, 2))  # Output: On the positive Y-axis
print(find_quadrant(0, -2))  # Output: On the negative Y-axis
print(find_quadrant(2, 0))  # Output: On the positive X-axis
print(find_quadrant(0, 0))  # Output: Origin
```

This function checks the signs of x1 and y1 to determine the quadrant. If both are positive, it's the first quadrant. If x1 is negative and y1 is positive, it's the second quadrant, and so on. If one of the coordinates is zero, it's on an axis. If both are zero, it's the origin.",,
"Given two points (x1, y1) and (x2, y2), find the slope and intercept of the line joining these two points (the line may be perfectly horizontal or vertical).","Here's the Python code to find the slope and intercept of a line joining two points:
```
def find_slope_intercept(x1, y1, x2, y2):
    # Calculate the slope (m)
    if x2 - x1 == 0:  # vertical line
        m = float('inf')  # slope is infinite
        b = None  # no intercept for vertical line
    else:
        m = (y2 - y1) / (x2 - x1)
        b = y1 - m * x1  # y-intercept

    return m, b

# Sample usage:
x1, y1 = 2, 3
x2, y2 = 4, 5

m, b = find_slope_intercept(x1, y1, x2, y2)
print(f""Slope (m): {m}, Intercept (b): {b}"")
```
Here's a brief explanation of the code:

1. First, we check if the line is vertical by checking if `x2 - x1 == 0`. If it is, we set the slope `m` to infinity and the intercept `b` to `None`, since a vertical line has no intercept.
2. If the line is not vertical, we calculate the slope `m` using the formula `(y2 - y1) / (x2 - x1)`.
3. We then calculate the intercept `b` using the formula `y1 - m * x1`, which is the y-coordinate of the point where the line intersects the y-axis.
4. Finally, we return the slope `m` and intercept `b` as a tuple.

Note that this implementation assumes that the points are not identical (i.e., `x1 != x2` and `y1 != y2`). If the points are identical, the line is not defined, and the function will raise a ZeroDivisionError.",,
"Given a quadratic equation with coefficients a, b and c, find the two solutions (may be real or complex). You should not take the square root of a negative number in your code.","Here is a Python function that calculates the two solutions of a quadratic equation using the quadratic formula, without taking the square root of a negative number:

```Python
import cmath

def solve_quadratic(a, b, c):
    # Calculate the discriminant
    discriminant = b**2 - 4*a*c
    
    # Calculate the two solutions
    sol1 = (-b + cmath.sqrt(discriminant)) / (2*a)
    sol2 = (-b - cmath.sqrt(discriminant)) / (2*a)
    
    return sol1, sol2

# Test the function
a = 1
b = 5
c = 6
sol1, sol2 = solve_quadratic(a, b, c)
print(""The solutions are: "", sol1, "" and "", sol2)
```

In this code, we use the `cmath` module to handle complex numbers. The `cmath.sqrt` function can handle negative numbers and returns a complex number. The quadratic formula is `x = (-b ± sqrt(b^2 - 4ac)) / 2a`, which is implemented in the `solve_quadratic` function.",,
"Given three points, find out whether they lie on the same straight line or not.","To determine if three points lie on the same straight line, we can use the concept of slope. If the slope of the line formed by the first two points is equal to the slope of the line formed by the last two points, then the three points lie on the same straight line.

Here is a Python code snippet that implements this:

```
def on_same_line(x1, y1, x2, y2, x3, y3):
    # Calculate the slopes
    slope12 = (y2 - y1) * (x3 - x2) - (y3 - y2) * (x2 - x1)
    
    # If the slope is zero, then the points are on the same line
    if slope12 == 0:
        return True
    else:
        return False

# Test the function
x1, y1 = 1, 1
x2, y2 = 2, 2
x3, y3 = 3, 3

if on_same_line(x1, y1, x2, y2, x3, y3):
    print(""The points are on the same line"")
else:
    print(""The points are not on the same line"")
```

In this code, we first calculate the slope of the line formed by the first two points and the slope of the line formed by the last two points. If the slopes are equal (i.e., the difference is zero), then the points lie on the same straight line.

Note that this code assumes that the points are not vertical (i.e., the x-coordinates are not equal). If the points can be vertical, you need to add additional checks to handle this case.

Also, this code uses a simple equality check to determine if the slopes are equal. In practice, you may want to use a small tolerance to account for floating-point precision errors. For example:

```
if abs(slope12) < 1e-9:
    return True
else:
    return False
```

This will consider the slopes to be equal if their difference is less than 1e-9.",,
"Given three integers, find the smallest one.","Here is a simple Python function that takes three integers as input and returns the smallest one:
```
def find_smallest(a, b, c):
    return min(a, b, c)
```
Here's an explanation:

* The `min()` function is a built-in Python function that returns the smallest of its arguments.
* We pass the three integers `a`, `b`, and `c` as arguments to the `min()` function.
* The `min()` function returns the smallest of the three integers.

Here's an example usage:
```
print(find_smallest(3, 1, 2))  # Output: 1
print(find_smallest(5, 10, 3))  # Output: 3
print(find_smallest(-1, 0, 1))  # Output: -1
```
Alternatively, you can also use a conditional statement to find the smallest integer:
```
def find_smallest(a, b, c):
    if a <= b and a <= c:
        return a
    elif b <= a and b <= c:
        return b
    else:
        return c
```
But the `min()` function is a more concise and efficient way to achieve the same result.",,
